Date,Open,High,Low,Close,Adj Close,Volume
1963-06-18,69.949997,70.669998,69.309998,70.199997,70.199997,20740000
1963-06-25,70.199997,70.510002,68.580002,68.860001,68.860001,19540000
1963-07-02,68.860001,70.480003,68.739998,69.739998,69.739998,13770000
1963-07-09,69.739998,70.389999,68.970001,69.199997,69.199997,18610000
1963-07-16,69.199997,69.529999,67.540001,67.900002,67.900002,17690000
1963-07-23,67.900002,68.959999,67.650002,68.669998,68.669998,15370000
1963-07-30,68.669998,69.970001,68.580002,69.709999,69.709999,17230000
1963-08-06,69.709999,71.000000,69.570000,70.589996,70.589996,19830000
1963-08-13,70.589996,71.949997,70.320000,71.440002,71.440002,21630000
1963-08-20,71.440002,72.300003,70.949997,71.910004,71.910004,21600000
1963-08-27,71.910004,72.709999,71.269997,72.500000,72.500000,18870000
1963-09-03,72.500000,73.510002,72.150002,72.580002,72.580002,29520000
1963-09-10,72.580002,73.790001,72.250000,73.070000,73.070000,27510000
1963-09-17,73.070000,73.709999,72.510002,72.959999,72.959999,24550000
1963-09-24,72.959999,73.870003,71.279999,71.699997,71.699997,25040000
1963-10-01,71.699997,73.269997,71.570000,72.699997,72.699997,21880000
1963-10-08,72.699997,73.139999,71.599998,72.300003,72.300003,23920000
1963-10-15,72.300003,73.870003,71.989998,73.379997,73.379997,28190000
1963-10-22,73.379997,75.150002,72.480003,74.480003,74.480003,32070000
1963-10-29,74.480003,75.180000,73.089996,73.449997,73.449997,26980000
1963-11-05,73.449997,73.660004,72.330002,73.519997,73.519997,18460000
1963-11-12,73.230003,73.669998,71.419998,71.830002,71.830002,23450000
1963-11-19,71.830002,73.139999,69.480003,69.610001,69.610001,22060000
1963-11-26,71.400002,74.080002,71.400002,73.660004,73.660004,24110000
1963-12-03,73.660004,74.629997,73.139999,73.959999,73.959999,23760000
1963-12-10,73.959999,74.660004,73.400002,74.300003,74.300003,21750000
1963-12-17,74.300003,75.209999,73.489998,73.809998,73.809998,24690000
1963-12-24,73.809998,74.940002,73.440002,74.559998,74.559998,16960000
1963-12-31,74.559998,76.120003,74.400002,75.669998,75.669998,22440000
1964-01-07,75.669998,76.709999,75.250000,76.220001,76.220001,26960000
1964-01-14,76.220001,77.209999,75.879997,76.410004,76.410004,30620000
1964-01-21,76.410004,77.779999,75.870003,77.080002,77.080002,25930000
1964-01-28,77.080002,77.559998,76.260002,76.970001,76.970001,21540000
1964-02-04,76.970001,77.769997,76.360001,77.050003,77.050003,21300000
1964-02-11,77.050003,77.930000,76.809998,77.459999,77.459999,22650000
1964-02-18,77.459999,78.160004,77.000000,77.680000,77.680000,19260000
1964-02-25,77.680000,78.379997,77.190002,77.970001,77.970001,26450000
1964-03-03,77.970001,78.879997,77.580002,78.330002,78.330002,25580000
1964-03-10,78.330002,79.599998,77.949997,79.139999,79.139999,27770000
1964-03-17,79.139999,79.889999,78.449997,78.930000,78.930000,27000000
1964-03-24,78.930000,79.669998,78.169998,79.139999,79.139999,22450000
1964-03-31,79.139999,80.449997,78.570000,80.019997,80.019997,29450000
1964-04-07,80.019997,80.440002,79.260002,79.769997,79.769997,26900000
1964-04-14,79.769997,81.040001,79.459999,80.500000,80.500000,27220000
1964-04-21,80.500000,81.199997,78.900002,79.349998,79.349998,28510000
1964-04-28,79.349998,81.010002,79.080002,80.470001,80.470001,28030000
